@relation sentimentoClasme_2classes

@attribute frase string
@attribute classe {positiva,negativa}

@data
"lsramos toda vez que me chama de gay de forma pejorativa URL",negativa
"14 hour freezing does it make sense URL",negativa
"rt itsjimminie siempre es lo mismo army no se esmera en las visualizaciones para que vengas y nos digas que son views falsas ytunfre…",negativa
"maldição URL",negativa
"e o que tem o cu com as calças URL",negativa
"rt elonbachman tesla making miracles out of the ordinary reminds me of the quip that capitalism turns luxuries into commodities wher…",negativa
"rt dope007 yes far too many frauds out there taking peoples pensions for a ride tsla URL",negativa
"fuck u URL",negativa
"follow the money mais grave que crime eleitoral sigam o dinheiro que pagam estes “influenciadores” e  verão corrupção na origem dele URL",negativa
"nnnnnnnnnnever URL",negativa
"vai pro inferno esse povo eles não tem mais o que fazer URL",negativa
"os revolucionários do dce da universidade regional do cariri se comportam como crianças birrentas que rabiscam paredes de propósito tenho certeza que marx se revira no túmulo ao constatar que a nova geração de revolucionários não passa de um bando de catar (...)",negativa
"another mass shooting in america 😆 URL",negativa
"essa é a segunda colocada segundo as “pesquisas”🤦🏻‍♀️ URL",negativa
"leiam a matéria p desmascarar mais um petista👇👇👇 URL",negativa
"pq não tem um blog aqui perto de casa  😢😢 URL",negativa
"está explicado pq n dormi URL",negativa
"billy gibbon’s voice sounds like gravel being grated URL",negativa
"até o congresso está dormindo pela petezada nãonegocieseuvoto URL",negativa
"rt ubisoftbrasil nossas mais profundas condolências vão às vítimas e às famílias da tragédia de ontem nós estamos com jacksonville com…",negativa
"muito óbvio saber qual é a estação boa e qual é a estação ruim eu acho que poderiam ser chamadas assim até hoje URL",negativa
"rt painefultruths elon musk supports pedoglobalism URL",negativa
"rt lisamarie61 have you seen the pic of my truck well thats about what i look like concussion head trauma broken clavicle br…",negativa
"twitter stays knowing URL",negativa
"rt ericbalbinus os revolucionários do dce da universidade regional do cariri se comportam como crianças birrentas que rabiscam paredes de…",negativa
"dude just shut up URL",negativa
"army owns twitter wbk URL",negativa
"stop the updates give us the next gta URL",negativa
"smh gta always trying to take my money URL",negativa
"bad takes from cool people are why twitter was a mistake i will die on this hill URL",negativa
"esse é o brasileiro esperto mas a culpa dessas maracutaias é da esquerda cria lei em cima de lei dando direitos sem pensar nas consequências  exemplo claro são as empregadas domésticas ficaram brigando por milhões de direitos  levaram URL",negativa
"tendo em vista que você é candidato a deputado e seu partido está coligado com geraldoalckmin não ficou claro se você vai votar nele para presidente poderia esclarecer URL",negativa
"e eu sou contra até pra você tentar assumir um cargo público  pra pqp URL",negativa
"you guys are the reason why i can’t sell my merch in peace  frfr URL",negativa
"kkkkkkkkkkkk ele tinha que ser contra ele mesmo ladrão safado eu sou contra o garotinho ser validado pra disputar eleição com a ficha mais que suja URL",negativa
"mano mulher esquilo ai marvel que decadência URL",negativa
"eu acho que garotinho é contra o rio de janeiro URL",negativa
"rt joovitorfelon pq não tem um blog aqui perto de casa  😢😢 URL",negativa
"i didnt think that people could kill thousands and still call them decent human being and kind society is strange URL",negativa
"onunãomandanobrasil onuvaicuidardavenezuela URL",negativa
"eu fui suspenso simplesmente por emitir minha opinião twitterbrasil cadê a atitude se é de esquerda vale tudo URL",negativa
"luciano coutinho indiciado URL",negativa
"ah pronto URL",negativa
"rt tponews what a foolish tweet tell me was mccain one of the senators you bribed for your subsidies why don’t you tell the world who…",negativa
"que cara escroto URL",negativa
"have you seen the pic of my truck well thats about what i look like concussion head trauma broken clavicle broken ribs arm wrist and no transportation still waiting on surgeries URL",negativa
"looks pretty every year but there’s no substance to these games can’t justify £60 URL",negativa
"my response to something 80 of the time URL",negativa
"gado dmssss URL",negativa
"rt seesawtrivia name another video you’ve freezed for 15 hours i’m waiting URL",negativa
"finalmente uma rede social em que o twitter nao podera me censurar jamais URL URL",negativa
"e pensar que uma piada cancela conta URL",negativa
"ah pô daí vai derreter mais ainda URL",negativa
